CODI;NOM_OFICIAL
059003;Passatge de Canadell
059105;Carrer de Canalejas
059207;Carrer de les Canàries
059309;Carrer de la Cançó
059400;Carrer de les Candeles
059604;Carrer de Canet
059706;Passatge de Canet
059808;Carrer de Canfranc
059900;Carrer del Canigó
060002;Carrer del Canonge Almera
060104;Plaça del Canonge Colom
060206;Passatge del Canonge Cuffí
060308;Carrer del Canonge Pibernat
060400;Plaça del Canonge Rodó
060501;Baixada de la Canonja
060603;Carrer de Canovelles
060705;Carrer de Cànoves
060807;Carrer de Cantàbria
061005;Carrer de la Cantera
061050;Carrer de la Pedrera del Mussol
061107;Carrer de les Pedreres
061300;Passatge de Cantí
061402;Carrer de la Canuda
061504;Carrer de Canyameres
061606;Carrer de Canyelles
061708;Carrer del Canó
061800;Carrer del Cap de Guaita
061901;Carrer del Cap del Món
062008;Passatge de Capdevila
062100;Carrer de Capella
062201;Carrer de Capellades
062303;Carrer dels Capellans
062450;Carrer de la Capella de Can Caralleu
062507;Carrer del Capità Arenas
062609;Avinguda d'Icària
062700;Carrer de Bosch i Gimpera
062755;Carrer de la Riera de Tena
062802;Carrer dels Caponata
062904;Carrer de Capçanes
063000;Carrer de Capsec
063102;Carrer del Capcir
063204;Passatge dels Caputxins
063306;Carrer de les Caputxes
063408;Carrer d'en Carabassa
063601;Torrent de la Carabassa
063703;Carrer de la Caravel·la La Niña
063805;Carrer de la Caravel·la La Pinta
063850;Carrer de Caracas
063907;Torrent de Can Caralleu
064105;Carrer de la Carassa
064207;Carrer de Carbonell
064309;Passatge de Carbonell
064400;Carrer de Carcassona
064502;Carrer de Cardedeu
064604;Passatge de Cardedeu
064706;Carrer del Cardenal Casañas
065006;Plaça del Cardenal Cicognani
065108;Carrer del Cardenal Cisneros
065200;Carrer del Cardenal Reig
065301;Carrer del Cardenal Sentmenat
065403;Carrer del Cardenal Tedeschini
065505;Carrer del Cardenal Vives i Tutó
065607;Carrer dels Carders
065800;Carrer de Cardó
065902;Carrer de Cardona
066009;Plaça de Cardona
066100;Carrer del Cardener
066304;Carrer de Cariteo
066508;Gran Via de Carles III
066600;Plaça de Carlos Ibáñez
066701;Plaça de Vallvidrera
066803;Carrer de Carles Pirozzini
066905;Passatge de Carlota de Mena
067001;Carretera del Carmel
067103;Rambla del Carmel
067205;Torrent del Carmel
067307;Carrer del Carme
067409;Plaça del Carme
067602;Carrer de Carme Karr
067704;Carrer del Castell d'Olorda
067806;Carrer de les Carolines
067908;Carreró de les Carolines
068004;Carrer de Carrencà
068106;Carrer de Carrera
068208;Carrer de Carreras
068230;Passatge de Carreras
068401;Carrer de Carreras i Candi
068503;Carrer de les Carretes
068605;Plaça del Carril
068707;Carrer de Carroç
068809;Passatge de Carsi
068900;Carrer de Cartagena
069007;Carrer de Cartago
069109;Carrer de Cartellà
069175;Carrer de la Cartoixa
069200;Carrer de Ca l'Alegre
069302;Passeig de Cantunis
069404;Avinguda de Can Baró
069506;Plaça de Can Baró
069517;Camí de Can Borni
069572;Baixada de Can Mateu
069608;Carrer de Can Móra
069652;Camí de Cal Notari
069700;Carrer de Ca n'Oliva
069801;Passatge de Ca n'Oliva
069903;Passatge de Can Berdura
070006;Carrer de Can Xirot
070050;Passatge de la Casablanca
070108;Carrer de Casafranca
070200;Carrer de Casals
070403;Carrer de Casals i Cuberó
070505;Passatge de Casamitjana
070607;Carrer de Casanova
070709;Carrer d'Enric Casanovas
070800;Passatge de Casanovas
071009;Carrer de Casas i Amigó
071100;Carrer de les Cases Boada
071304;Passeig de Jean C. N. Forestier
071359;Plaça de les Cascades
071406;Carrer de les Casetes
071600;Carrer de Casp
071701;Baixada de Caçador
071905;Carrer de Castanys
072001;Carrer de Castanyer
072158;Passeig dels Castanyers
072170;Carrer de Castelladral
072307;Carrer de Castellar
072409;Carrer de Castellbell
072500;Carrer de Castellbisbal
072602;Carrer de Castelldefels
072704;Carrer de Castellet
072806;Carrer de Castellfollit
072908;Carrer de Castellnou
073004;Carrer de Castelló
073106;Plaça de Castelló
073139;Passeig de la Vimetera
073208;Carrer de Castells
073401;Carrer de Castellterçol
073503;Carrer de Castellví
073558;Parc Forestal de Can Castellví de Dalt
073605;Carrer de Casteràs
073707;Carrer de Castella
073809;Plaça de Castella
073900;Carrer de los Castillejos
073955;Parc del Castell de l'Oreneta
074109;Carrer del Castor
074200;Plaça Catalana
074302;Passatge de Catalunya
074404;Plaça de Catalunya
074506;Rambla de Catalunya
074608;Carrer de Catània
074700;Carrer de Catasús
074801;Avinguda de la Catedral
074903;Carrer de Cabanelles
075000;Carrer de Cai Celi
075101;Rambla del Caçador
075203;Passatge de l'Ordi
075305;Carrer de Celrà
075509;Camí del Cementiri de Sant Gervasi
075553;Plaça del Cementiri d'Horta
075600;Camí del Cementiri de Sarrià
075702;Carrer de Carmen Amaya
075804;Passatge de Rere el Cementiri Vell
075906;Carrer de la Cendra
076002;Passatge de Centelles
076104;Plaça de la Central
076206;Carrer del Centre
076308;Plaça del Centre
076501;Carrer de la Cera
076556;Carrer de la Ceràmica
076603;Carrer del Clos de Sant Francesc
076705;Carrer de Cerdà
076807;Carrer de Sardenya
076851;Carrer dels Cirerers
076909;Carrer de Cerignola
077005;Carrer de Cermeño
077107;Carrer del Turó de la Trinitat
077209;Plaça del Turó de la Trinitat
077300;Carrer de Cervantes
077504;Carrer de Cervelló
077606;Carrer de Cervera
077708;Carrer de Cesare Cantù
077800;Carrer de Ceuta
077854;Passatge de Ceuta
077901;Carrer de Ciceró
078008;Carrer del Cid
078100;Carrer dels Cecs de la Boqueria
078201;Carrer dels Cecs de Sant Cugat
078303;Carrer de les Ciències
078405;Carrer de Cienfuegos
078609;Carrer de Cifuentes
078653;Passeig del Cimal
078700;Carrer del Cinca
078802;Carrer del Cisell
078904;Carrer del Torrent de les Roses
079000;Passatge de les Cinc Torres
079102;Carrer del Xiprer
079157;Plaça de Cirici Pellicer
079204;Carrer de Circumval·lació
079259;Carretera Circumval·lació
079306;Passeig de Circumval·lació
079408;Carrer de la Cirera
079601;Carrer del Cigne
079703;Carrer de Cisquer
079805;Carrer del Cistellet
079907;Carrer del Cister
080000;Carrer de la Ciutat
080101;Carrer de la Ciutat d'Asunción
080203;Carrer de la Ciutat de Balaguer
080258;Carrer de la Ciutat d'Elx
080305;Carrer de Ciudad Real
080407;Passatge dels Ciutadans
080509;Carrer de Ciutadella
080600;Plaça de Ciutadella
080702;Carrer de Siurana
080804;Carrer del Civader
080906;Carrer de Clarà
080950;Carrer de Clarà Ayats
081002;Carrer de Claramunt
081104;Carrer de Claravall
081206;Carrer de Clariana
081308;Passeig de Claudi Güell
081400;Carrer de Claudi Sabadell
081501;Carrer del Clavell
081534;Passatge de Clip
081603;Carrer del Clot
081807;Carrer de Clotés
081909;Carrer del Cobalt
082107;Carrer dels Còdols
082209;Passatge de Coello
082300;Carrer de Coïmbra
082402;Carrer de Colòmbia
082504;Passatge de Colomer
082606;Carrer de Colomines
082708;Passatge dels Coloms
082800;Carrer de Colom
082901;Passeig de Colom
083008;Carrer de Colònia
083201;Carrer de la Colònia del Tibidabo
083303;Carrer de Coll
083405;Camí Vell del Coll
083507;Passatge de Coll
083609;Avinguda del Coll del Portell
083700;Passatge del Coll del Portell
083802;Pas del Coll del Portell
083904;Carrer de Coll i Vehí
084102;Carrer de Collblanc
084306;Carrer de Collserola
084500;Carrer de Collegats
084601;Carrer de Comalada
084703;Carrer del Comandant Benítez
084805;Carrer del Comandant Llança
084907;Plaça de Comas
085003;Passatge de Comas d'Argemí
085105;Baixada de la Combinació
085207;Carrer Comercial
085309;Plaça Comercial
085400;Carrer del Comerç
085502;Plaça del Comerç
085604;Placeta del Comerç
085706;Carrer del Cometa
085808;Passatge de la Companyia
